7232,640,4
6080,704,7
7552,640,4
704,640,4
5056,640,4
7872,640,5
5120,576,1
5376,640,4
5440,576,1
5696,640,4
5760,576,1
8128,640,9
3264,576,1
8320,448,18
8512,576,9
8576,512,9
8640,448,9
8448,640,9
3584,576,1
128,704,7
8768,640,9
8832,576,9
8896,512,9
7296,704,7
6016,576,1
448,704,7
1088,576,1
6336,576,1
768,704,7
6656,576,1
8768,64,18
4800,640,4
6976,576,1
2304,640,4
8768,128,9
2624,640,4
1152,704,7
6400,704,7
2944,640,4
1472,704,7
6720,704,7
1792,704,7
4224,704,7
4544,704,7
4864,704,7
2048,704,7
3904,576,1
2368,704,7
7616,704,7
2688,704,7
1408,576,1
1728,576,1
0,576,0
320,576,1
256,640,4
576,640,4
640,576,1
896,640,4
960,576,1
8192,448,2
8064,576,18
8832,-64,13
8768,192,9
8384,576,9
1280,640,4
4032,640,4
4352,640,4
8512,320,9
4672,640,4
8832,320,9
7104,640,4
4992,640,4
2240,576,1
2176,640,4
2560,576,1
7424,640,4
2496,640,4
64,576,1
2880,576,1
7744,640,4
6272,704,7
6592,704,7
5248,640,4
5312,576,1
4096,704,7
5568,640,4
5632,576,1
5888,640,4
5952,576,1
3136,576,1
8128,512,4
8512,448,9
8448,512,9
3456,576,1
8768,512,9
8832,448,9
7168,704,7
3776,576,1
1600,640,4
8832,64,19
7488,704,7
6208,576,1
1920,640,4
6528,576,1
3200,704,7
6848,576,1
3520,704,7
3840,704,7
1024,704,7
2816,640,4
1344,704,7
1664,704,7
192,576,1
6912,704,7
1984,704,7
4416,704,7
4736,704,7
7808,704,7
6080,640,4
8384,320,13
8320,384,15
8640,384,9
7040,576,1
128,640,4
7360,576,1
7296,640,4
448,640,4
512,576,1
7680,576,1
768,640,4
832,576,1
5184,576,1
8064,448,0
1152,640,4
8384,448,19
8576,576,9
1472,640,4
6400,640,4
8896,576,9
6720,640,4
1792,640,4
4224,640,4
4544,640,4
3072,704,7
8320,704,9
4864,640,4
3392,704,7
2112,576,1
2048,640,4
8640,704,9
2432,576,1
2368,640,4
2752,576,1
7616,640,4
2688,640,4
6144,704,7
6464,704,7
5504,576,1
6784,704,7
5824,576,1
4288,704,7
3008,576,1
3328,576,1
3648,576,1
3968,576,1
3712,704,7
1216,704,7
1536,704,7
384,576,1
1856,704,7
4608,704,7
4928,704,7
8896,-64,14
6272,640,4
6592,640,4
4096,640,4
4160,576,1
4480,576,1
8512,384,9
8576,320,9
8192,704,9
8640,256,20
8832,384,9
8896,320,9
7168,640,4
7232,576,1
7488,640,4
7552,576,1
704,576,1
7872,576,2
5056,576,1
3200,640,4
5376,576,1
3520,640,4
5696,576,1
3840,640,4
1024,640,4
8128,576,19
8576,448,9
8448,576,9
1344,640,4
8768,576,9
8896,448,9
5120,704,7
1664,640,4
5440,704,7
6912,640,4
1984,640,4
5760,704,7
4416,640,4
3264,704,7
4736,640,4
4800,576,1
8512,704,9
3584,704,7
2304,576,1
8832,704,9
6016,704,7
2624,576,1
1088,704,7
6336,704,7
7808,640,4
2944,576,1
6656,704,7
6976,704,7
3904,704,7
1408,704,7
8384,384,16
256,576,1
1728,704,7
576,576,1
896,576,1
3072,640,4
8320,640,9
3392,640,4
0,704,6
8640,640,9
8768,-64,12
320,704,7
1280,576,1
640,704,7
6144,640,4
960,704,7
6464,640,4
4032,576,1
6784,640,4
4288,640,4
4352,576,1
8064,704,9
8512,256,18
8640,128,14
8448,320,14
4672,576,1
8768,320,9
8832,256,9
8384,704,9
7104,576,1
4992,576,1
2176,576,1
7424,576,1
2496,576,1
7744,576,1
5248,576,1
5568,576,1
5888,576,1
3712,640,4
2240,704,7
8128,448,1
1216,640,4
2560,704,7
8448,448,20
8768,448,9
64,704,7
1536,640,4
1600,576,1
2880,704,7
5312,704,7
1920,576,1
1856,640,4
5632,704,7
4608,640,4
3136,704,7
5952,704,7
4928,640,4
3456,704,7
3776,704,7
2816,576,1
6208,704,7
6528,704,7
6848,704,7
8192,640,9
8640,192,17
192,704,7
6080,576,1
8576,384,9
128,576,1
8896,384,9
5120,640,4
7296,576,1
448,576,1
5440,640,4
768,576,1
8896,0,17
5760,640,4
8320,512,9
3264,640,4
8512,640,9
8640,512,9
3584,640,4
7040,704,7
8832,640,9
6016,640,4
1152,576,1
1088,640,4
512,704,7
7360,704,7
6336,640,4
6400,576,1
1472,576,1
832,704,7
7680,704,7
6656,640,4
6720,576,1
5184,704,7
1792,576,1
4224,576,1
6976,640,4
4544,576,1
8512,128,12
8832,128,9
4864,576,1
2048,576,1
8576,704,9
2368,576,1
8896,704,9
2688,576,1
7616,576,1
8896,64,20
2112,704,7
3904,640,4
2432,704,7
2752,704,7
1408,640,4
1728,640,4
5504,704,7
5824,704,7
3008,704,7
3328,704,7
3648,704,7
0,640,3
3968,704,7
320,640,4
640,640,4
960,640,4
8064,640,9
8192,512,5
8512,192,15
8832,192,9
8384,640,9
384,704,7
6272,576,1
6592,576,1
4096,576,1
2240,640,4
2560,640,4
8448,384,17
8576,256,19
8768,384,9
8896,256,9
2880,640,4
64,640,4
7168,576,1
7488,576,1
5312,640,4
8768,0,15
4160,704,7
5632,640,4
4480,704,7
3136,640,4
3200,576,1
5952,640,4
8512,512,9
3456,640,4
3520,576,1
8832,512,9
7232,704,7
3776,640,4
1024,576,1
3840,576,1
7552,704,7
1344,576,1
704,704,7
6208,640,4
7872,704,8
5056,704,7
1664,576,1
6528,640,4
5376,704,7
6912,576,1
6848,640,4
1984,576,1
5696,704,7
4416,576,1
8128,704,9
4736,576,1
8448,704,9
8768,704,9
192,640,4
7808,576,1
4800,704,7
2304,704,7
2624,704,7
2944,704,7
7040,640,4
512,640,4
7360,640,4
832,640,4
7680,640,4
5184,640,4
3072,576,1
8064,512,3
8320,576,9
8384,512,9
3392,576,1
8576,640,9
8640,576,9
256,704,7
8896,640,9
576,704,7
6144,576,1
8832,0,16
896,704,7
6464,576,1
6784,576,1
4288,576,1
2112,640,4
2432,640,4
8576,128,13
8768,256,9
8896,128,9
2752,640,4
1280,704,7
4032,704,7
5504,640,4
4352,704,7
3008,640,4
5824,640,4
4672,704,7
3328,640,4
7104,704,7
4992,704,7
3648,640,4
3712,576,1
2176,704,7
7424,704,7
2496,704,7
3968,640,4
1216,576,1
7744,704,7
1536,576,1
5248,704,7
1856,576,1
5568,704,7
5888,704,7
4608,576,1
4928,576,1
1600,704,7
384,640,4
1920,704,7
2816,704,7
8192,576,20
8576,192,16
8896,192,9
4160,640,4
4480,640,4
8320,320,12
8640,320,9
