512,512,bg
320,704,bg
1152,384,normal
64,384,bg
640,704,bg
704,640,bg
832,512,bg
1152,0,normal
512,832,normal
960,704,bg
832,832,normal
1088,256,bg
128,704,bg
448,704,bg
704,448,bg
1088,576,bg
768,704,bg
1088,896,normal
704,768,normal
1216,0,normal
1024,512,bg
1216,320,normal
1152,704,normal
1216,640,normal
1024,832,normal
64,704,bg
192,384,bg
1216,128,normal
1216,448,normal
1216,768,normal
0,256,bg
0,576,bg
256,320,bg
384,512,bg
256,640,bg
192,704,bg
320,576,bg
0,896,normal
960,256,bg
832,384,bg
896,320,bg
640,576,bg
576,640,bg
384,832,normal
320,896,normal
896,640,bg
960,576,bg
640,896,normal
960,896,normal
128,256,bg
128,576,bg
256,448,bg
448,576,bg
576,448,bg
256,768,normal
128,896,normal
896,448,bg
768,576,bg
576,768,normal
448,896,normal
896,768,normal
768,896,normal
1024,384,bg
1088,320,bg
1216,192,normal
1216,64,normal
1152,256,normal
64,256,bg
512,704,bg
704,512,bg
1088,640,bg
1152,576,normal
64,576,bg
832,704,bg
704,832,normal
1152,896,normal
64,896,normal
1088,448,bg
1088,768,normal
1024,704,bg
1216,512,normal
1216,832,normal
192,576,bg
192,896,normal
0,320,bg
0,640,bg
320,320,bg
320,640,bg
960,320,bg
640,640,bg
960,640,bg
128,320,bg
0,448,bg
1088,192,bg
128,640,bg
256,512,bg
320,448,bg
0,768,normal
768,320,bg
384,704,bg
448,640,bg
512,576,bg
640,448,bg
576,512,bg
704,384,bg
320,768,normal
256,832,normal
832,576,bg
768,640,bg
896,512,bg
960,448,bg
640,768,normal
512,896,normal
576,832,normal
960,768,normal
832,896,normal
896,832,normal
1152,320,normal
64,320,bg
128,448,bg
1152,640,normal
448,448,bg
64,640,bg
128,768,normal
768,448,bg
448,768,normal
768,768,normal
1024,256,bg
1152,128,normal
1216,384,normal
1152,448,normal
1088,512,bg
1024,576,bg
64,448,bg
1152,768,normal
1088,832,normal
1024,896,normal
704,704,bg
64,768,normal
1152,64,normal
192,320,bg
192,640,bg
960,192,bg
1216,704,normal
256,384,bg
192,448,bg
384,576,bg
192,768,normal
576,384,bg
896,384,bg
384,896,normal
0,512,bg
320,512,bg
0,832,normal
1152,192,normal
320,832,normal
832,320,bg
512,640,bg
640,512,bg
640,832,normal
960,512,bg
832,640,bg
960,832,normal
128,512,bg
512,448,bg
1088,384,bg
448,512,bg
256,704,bg
128,832,normal
832,448,bg
448,832,normal
512,768,normal
768,512,bg
704,576,bg
576,704,bg
768,832,normal
704,896,normal
832,768,normal
896,704,bg
1024,320,bg
1152,512,normal
1024,640,bg
64,512,bg
1152,832,normal
64,832,normal
1216,256,normal
1024,448,bg
1216,576,normal
1024,768,normal
1088,704,bg
1216,896,normal
0,384,bg
192,512,bg
320,384,bg
384,640,bg
192,832,normal
640,384,bg
960,384,bg
128,384,bg
384,448,bg
256,576,bg
768,384,bg
256,896,normal
384,768,normal
576,576,bg
576,896,normal
896,576,bg
896,896,normal
1024,192,bg
0,704,bg
